Episode #,Training Iter,Epoch,In Heatup,ER #Transitions,ER #Episodes,Episode Length,Total steps,Epsilon,Shaped Training Reward,Training Reward,Update Target Network,Wall-Clock Time,Evaluation Reward,Shaped Evaluation Reward,Success Rate,Inverse Propensity Score,Direct Method Reward,Doubly Robust,Weighted Importance Sampling,Sequential Doubly Robust,Loss/Mean,Loss/Stdev,Loss/Max,Loss/Min,Learning Rate/Mean,Learning Rate/Stdev,Learning Rate/Max,Learning Rate/Min,Grads (unclipped)/Mean,Grads (unclipped)/Stdev,Grads (unclipped)/Max,Grads (unclipped)/Min,Discounted Return/Mean,Discounted Return/Stdev,Discounted Return/Max,Discounted Return/Min,Entropy/Mean,Entropy/Stdev,Entropy/Max,Entropy/Min,Advantages/Mean,Advantages/Stdev,Advantages/Max,Advantages/Min,Values/Mean,Values/Stdev,Values/Max,Values/Min,Value Loss/Mean,Value Loss/Stdev,Value Loss/Max,Value Loss/Min,Policy Loss/Mean,Policy Loss/Stdev,Policy Loss/Max,Policy Loss/Min,Value Targets/Mean,Value Targets/Stdev,Value Targets/Max,Value Targets/Min,KL Divergence/Mean,KL Divergence/Stdev,KL Divergence/Max,KL Divergence/Min,Likelihood Ratio/Mean,Likelihood Ratio/Stdev,Likelihood Ratio/Max,Likelihood Ratio/Min,Clipped Likelihood Ratio/Mean,Clipped Likelihood Ratio/Stdev,Clipped Likelihood Ratio/Max,Clipped Likelihood Ratio/Min
17,0.0,0.0,0.0,2066.0,17.0,90.0,2066.0,0.1,29.05100000000003,0.0,0.0,176.82649397850037,,,,,,,,,,,,,,,,,,,,,10.21396463305502,8.410802101325661,28.215306483772217,-2.992509992503,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,0.0,0.0,0.0,2328.0,18.0,262.0,2328.0,0.1,72.17999999999998,0.0,0.0,200.13997220993042,,,,,,,,,,,,,,,,,,,,,30.475772162729807,19.970297773072456,64.38731855044782,-2.992509992503,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,0.0,0.0,0.0,2534.0,19.0,206.0,2534.0,0.1,72.12100000000002,0.0,0.0,218.58712911605835,,,,,,,,,,,,,,,,,,,,,33.46502761692785,22.151342369812117,65.61593094899236,-3.9860279650279864,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,0.0,0.0,0.0,2653.0,20.0,119.0,2653.0,0.1,40.06899999999996,0.0,0.0,229.51030945777893,,,,,,,,,,,,,,,,,,,,,17.039925948461374,12.053560931664444,38.303590877185805,-2.992509992503,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,1.0,0.0,0.0,256.0,1.0,256.0,2909.0,0.1,81.14400000000009,0.0,0.0,598.3610229492188,,,,,,,,,,,,,,,,,,,,,31.647768112165796,25.734778356828304,73.4054744042556,-9.905567585232658,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,1.0,0.0,0.0,310.0,2.0,54.0,2963.0,0.1,6.526999999999996,0.0,0.0,603.7092542648315,,,,,,,,,,,,,,,,,,,,,-1.530797337231821,3.759389218787787,6.622902237783846,-6.461142643142643,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,1.0,0.0,0.0,401.0,3.0,91.0,3054.0,0.1,12.065999999999988,0.0,0.0,612.6077694892883,,,,,,,,,,,,,,,,,,,,,2.40928730926421,4.429038291153944,11.870483952277569,-3.9860279650279864,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,1.0,0.0,0.0,1066.0,4.0,665.0,3719.0,0.1,243.9130000000013,0.0,0.0,671.433114528656,,,,,,,,,,,,,,,,,,,,,100.67635376503927,55.29179320183632,178.55685831662512,-2.4950049975005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,1.0,0.0,0.0,1338.0,5.0,272.0,3991.0,0.1,111.64900000000037,0.0,0.0,695.8367218971252,,,,,,,,,,,,,,,,,,,,,40.87275488004494,31.3541188266237,100.83280870013496,-3.4895174825104966,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,1.0,0.0,0.0,1393.0,6.0,55.0,4046.0,0.1,-1.967999999999996,0.0,0.0,701.290004491806,,,,,,,,,,,,,,,,,,,,,-4.914680962506415,1.983481153625828,-0.5,-7.8959402317207354,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,1.0,0.0,0.0,1461.0,7.0,68.0,4114.0,0.1,17.041000000000004,0.0,0.0,708.1163983345032,,,,,,,,,,,,,,,,,,,,,6.669515694573021,5.980288969277871,16.667653681236622,-2.992509992503,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,1.0,0.0,0.0,1544.0,8.0,83.0,4197.0,0.1,32.54200000000003,0.0,0.0,716.0842740535736,,,,,,,,,,,,,,,,,,,,,13.418097316452874,9.714498452949508,31.491248929344167,-2.4950049975005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,1.0,0.0,0.0,1570.0,9.0,26.0,4223.0,0.1,6.507999999999999,0.0,0.0,719.0651090145111,,,,,,,,,,,,,,,,,,,,,1.2224801895588213,3.42410332156358,6.49468208276821,-3.4895174825104966,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
